variant,N,Q,beta,d_km,rho,x_r_argmax,kappa_ground,gap,imfrac,imfrac_ownmax,kappa_source,imfrac_source,washout_gap,p_kappa_floor,p_imfrac_floor,p_gap_raw,p_gap_scaled,near_deg_raw,near_deg_scaled,cell_class_raw,cell_class_scaled
primary,64,10.0,0.05,100.0,0.85,68.0000,0.4790,5.949188e-21,0.5937,0.5937,0.6702,0.7021,0.1914,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.05,100.0,0.95,68.0000,0.4798,5.968413e-21,0.5950,0.5950,0.6701,0.7031,0.1905,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.05,150.0,0.7,68.3035,0.5407,8.715245e-22,0.6358,0.6358,0.6842,0.6967,0.1441,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.05,150.0,0.85,68.3035,0.5429,8.625211e-22,0.6417,0.6417,0.6844,0.7027,0.1411,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.05,150.0,0.95,68.3035,0.5445,8.694904e-22,0.6450,0.6450,0.6845,0.7050,0.1400,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.05,250.0,0.7,71.0353,0.5903,1.033918e-22,0.6538,0.6538,0.6829,0.6853,0.0934,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.05,250.0,0.85,68.5059,0.6006,9.810568e-23,0.6620,0.6684,0.6929,0.6921,0.0930,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.05,250.0,0.95,68.5059,0.6061,9.927287e-23,0.6767,0.6767,0.6946,0.7033,0.0890,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.1,100.0,0.7,68.2024,0.5062,1.888878e-21,0.6097,0.6097,0.6959,0.6986,0.1904,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
primary,64,10.0,0.1,100.0,0.85,68.2024,0.5102,1.885731e-21,0.6174,0.6174,0.6971,0.7043,0.1867,0.0001,0.0001,1.0000,0.0001,True,False,holds,holds
